studyName;Sample Number;Species;Region;Island;Stage;Individual ID;Clutch Completion;Date Egg;Culmen Length (mm);Culmen Depth (mm);Flipper Length (mm);Body Mass (g);Sex;Delta 15 N (o/oo);Delta 13 C (o/oo);Comments
PAL0708;1;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N1A1;Yes;11/11/2007;39.1;18.7;181;3750;MALE;;;Not enough blood for isotopes.
PAL0708;2;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N1A2;Yes;11/11/2007;39.5;17.4;186;3800;FEMALE;894.956;-2.469.454;
PAL0708;3;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N2A1;Yes;11/16/07;40.3;18;195;3250;FEMALE;836.821;-2.533.302;
PAL0708;4;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N2A2;Yes;11/16/07;;;;;;;;Adult not sampled.
PAL0708;5;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N3A1;Yes;11/16/07;36.7;19.3;193;3450;FEMALE;876.651;-2.532.426;
PAL0708;6;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N3A2;Yes;11/16/07;39.3;20.6;190;3650;MALE;866.496;-2.529.805;
PAL0708;7;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N4A1;No;11/15/07;38.9;17.8;181;3625;FEMALE;918.718;-2.521.799;Nest never observed with full clutch.
PAL0708;8;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N4A2;No;11/15/07;39.2;19.6;195;4675;MALE;94.606;-2.489.958;Nest never observed with full clutch.
PAL0708;9;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N5A1;Yes;11/09/2007;34.1;18.1;193;3475;;;;No blood sample obtained.
PAL0708;10;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N5A2;Yes;11/09/2007;42;20.2;190;4250;;913.362;-2.509.368;No blood sample obtained for sexing.
PAL0708;11;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N6A1;Yes;11/09/2007;37.8;17.1;186;3300;;863.243;-2.521.315;No blood sample obtained for sexing.
PAL0708;12;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N6A2;Yes;11/09/2007;37.8;17.3;180;3700;;;;No blood sample obtained.
PAL0708;13;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N7A1;Yes;11/15/07;41.1;17.6;182;3200;FEMALE;;;Not enough blood for isotopes.
PAL0708;14;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N7A2;Yes;11/15/07;38.6;21.2;191;3800;MALE;;;Not enough blood for isotopes.
PAL0708;15;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N8A1;Yes;11/16/07;34.6;21.1;198;4400;MALE;855.583;-2.522.588;
PAL0708;16;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N8A2;Yes;11/16/07;36.6;17.8;185;3700;FEMALE;;;Not enough blood for isotopes.
PAL0708;17;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N9A1;Yes;11/12/2007;38.7;19;195;3450;FEMALE;918.528;-2.506.691;
PAL0708;18;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N9A2;Yes;11/12/2007;42.5;20.7;197;4500;MALE;867.538;-2.513.993;
PAL0708;19;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N10A1;Yes;11/16/07;34.4;18.4;184;3325;FEMALE;847.827;-2.523.319;
PAL0708;20;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N10A2;Yes;11/16/07;46;21.5;194;4200;MALE;911.616;-2.477.227;
PAL0708;21;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N11A1;Yes;11/12/2007;37.8;18.3;174;3400;FEMALE;873.762;-2.509.383;
PAL0708;22;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N11A2;Yes;11/12/2007;37.7;18.7;180;3600;MALE;866.271;-250.639;
PAL0708;23;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N12A1;Yes;11/12/2007;35.9;19.2;189;3800;FEMALE;922.286;-2.503.474;
PAL0708;24;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N12A2;Yes;11/12/2007;38.2;18.1;185;3950;MALE;843.423;-2.522.664;
PAL0708;25;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N13A1;Yes;11/10/2007;38.8;17.2;180;3800;MALE;963.954;-2.529.856;
PAL0708;26;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N13A2;Yes;11/10/2007;35.3;18.9;187;3800;FEMALE;921.292;-243.613;
PAL0708;27;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N17A1;Yes;11/12/2007;40.6;18.6;183;3550;MALE;893.997;-2.536.288;
PAL0708;28;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N17A2;Yes;11/12/2007;40.5;17.9;187;3200;FEMALE;808.138;-2.549.448;
PAL0708;29;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N18A1;No;11/10/2007;37.9;18.6;172;3150;FEMALE;838.404;-2.519.837;Nest never observed with full clutch.
PAL0708;30;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N18A2;No;11/10/2007;40.5;18.9;180;3950;MALE;890.027;-2.511.609;Nest never observed with full clutch.
PAL0708;31;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N21A1;Yes;11/09/2007;39.5;16.7;178;3250;FEMALE;969.756;-2.511.223;
PAL0708;32;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N21A2;Yes;11/09/2007;37.2;18.1;178;3900;MALE;972.764;-250.102;
PAL0708;33;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N22A1;Yes;11/09/2007;39.5;17.8;188;3300;FEMALE;966.523;-250.602;
PAL0708;34;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N22A2;Yes;11/09/2007;40.9;18.9;184;3900;MALE;879.665;-2.514.591;
PAL0708;35;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N23A1;Yes;11/16/07;36.4;17;195;3325;FEMALE;917.847;-2.523.061;
PAL0708;36;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N23A2;Yes;11/16/07;39.2;21.1;196;4150;MALE;915.308;-2.503.469;
PAL0708;37;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N24A1;Yes;11/16/07;38.8;20;190;3950;MALE;918.985;-2.512.255;
PAL0708;38;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N24A2;Yes;11/16/07;42.2;18.5;180;3550;FEMALE;804.787;-2.549.523;
PAL0708;39;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N25A1;No;11/13/07;37.6;19.3;181;3300;FEMALE;941.131;-2.504.169;Nest never observed with full clutch.
PAL0708;40;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N25A2;No;11/13/07;39.8;19.1;184;4650;MALE;;;Nest never observed with full clutch. Not enough blood for isotopes.
PAL0708;41;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N26A1;Yes;11/16/07;36.5;18;182;3150;FEMALE;968.933;-244.228;
PAL0708;42;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N26A2;Yes;11/16/07;40.8;18.4;195;3900;MALE;;;Not enough blood for isotopes.
PAL0708;43;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N27A1;Yes;11/19/07;36;18.5;186;3100;FEMALE;950.772;-2.503.492;
PAL0708;44;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N27A2;Yes;11/19/07;44.1;19.7;196;4400;MALE;92.372;-2.452.698;
PAL0708;45;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N28A1;Yes;11/16/07;37;16.9;185;3000;FEMALE;936.392;-2.501.745;
PAL0708;46;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N28A2;Yes;11/16/07;39.6;18.8;190;4600;MALE;949.106;-2.410.255;
PAL0708;47;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N29A1;Yes;11/13/07;41.1;19;182;3425;MALE;;;Not enough blood for isotopes.
PAL0708;48;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N29A2;Yes;11/13/07;37.5;18.9;179;2975;;;;Sexing primers did not amplify. Not enough blood for isotopes.
PAL0708;49;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N30A1;Yes;11/13/07;36;17.9;190;3450;FEMALE;951.784;-2.507.683;
PAL0708;50;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N30A2;Yes;11/13/07;42.3;21.2;191;4150;MALE;887.988;-2.518.543;
PAL0809;51;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N21A1;Yes;11/06/2008;39.6;17.7;186;3500;FEMALE;846.616;-2.612.989;
PAL0809;52;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N21A2;Yes;11/06/2008;40.1;18.9;188;4300;MALE;851.362;-2.655.602;
PAL0809;53;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N22A1;Yes;11/09/2008;35;17.9;190;3450;FEMALE;819.539;-2.617.213;
PAL0809;54;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N22A2;Yes;11/09/2008;42;19.5;200;4050;MALE;848.095;-263.146;
PAL0809;55;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N23A1;Yes;11/09/2008;34.5;18.1;187;2900;FEMALE;841.837;-2.654.718;
PAL0809;56;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N23A2;Yes;11/09/2008;41.4;18.6;191;3700;MALE;835.396;-2.627.853;
PAL0809;57;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N24A1;Yes;11/15/08;39;17.5;186;3550;FEMALE;857.199;-2.607.188;
PAL0809;58;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N24A2;Yes;11/15/08;40.6;18.8;193;3800;MALE;856.674;-2.598.843;
PAL0809;59;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N25A1;Yes;11/15/08;36.5;16.6;181;2850;FEMALE;907.878;-2.588.156;
PAL0809;60;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N25A2;Yes;11/15/08;37.6;19.1;194;3750;MALE;9.108;-2.589.677;
PAL0809;61;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N27A1;Yes;11/13/08;35.7;16.9;185;3150;FEMALE;896.472;-2.640.943;
PAL0809;62;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N27A2;Yes;11/13/08;41.3;21.1;195;4400;MALE;874.802;-2.637.809;
PAL0809;63;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N28A1;Yes;11/13/08;37.6;17;185;3600;FEMALE;858.063;-2.621.569;
PAL0809;64;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N28A2;Yes;11/13/08;41.1;18.2;192;4050;MALE;862.264;-2.660.023;
PAL0809;65;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N29A1;Yes;11/13/08;36.4;17.1;184;2850;FEMALE;862.623;-261.165;
PAL0809;66;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N29A2;Yes;11/13/08;41.6;18;192;3950;MALE;885.562;-2.609.294;
PAL0809;67;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N30A1;Yes;11/06/2008;35.5;16.2;195;3350;FEMALE;856.192;-2.595.541;
PAL0809;68;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N30A2;Yes;11/06/2008;41.1;19.1;188;4100;MALE;871.078;-2.581.012;
PAL0809;69;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N32A1;No;11/11/2008;35.9;16.6;190;3050;FEMALE;847.781;-2.607.821;Nest never observed with full clutch.
PAL0809;70;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N32A2;No;11/11/2008;41.8;19.4;198;4450;MALE;886.853;-2.606.209;Nest never observed with full clutch.
PAL0809;71;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N34A1;Yes;11/14/08;33.5;19;190;3600;FEMALE;788.863;-2.663.085;
PAL0809;72;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N34A2;Yes;11/14/08;39.7;18.4;190;3900;MALE;929.808;-2.523.453;
PAL0809;73;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N35A1;Yes;11/11/2008;39.6;17.2;196;3550;FEMALE;833.524;-2.655.351;
PAL0809;74;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N35A2;Yes;11/11/2008;45.8;18.9;197;4150;MALE;818.658;-2.645.978;
PAL0809;75;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N36A1;Yes;11/08/2008;35.5;17.5;190;3700;FEMALE;870.642;-2.615.003;
PAL0809;76;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N36A2;Yes;11/08/2008;42.8;18.5;195;4250;MALE;82.993;-2.638.986;
PAL0809;77;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N37A1;Yes;11/06/2008;40.9;16.8;191;3700;FEMALE;847.257;-2.602.002;
PAL0809;78;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N37A2;Yes;11/06/2008;37.2;19.4;184;3900;MALE;83.554;-2.644.787;
PAL0809;79;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N38A1;Yes;11/09/2008;36.2;16.1;187;3550;FEMALE;782.381;-2.651.382;
PAL0809;80;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N38A2;Yes;11/09/2008;42.1;19.1;195;4000;MALE;905.736;-2.581.513;
PAL0809;81;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N39A1;Yes;11/02/2008;34.6;17.2;189;3200;FEMALE;769.778;-265.387;
PAL0809;82;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N39A2;Yes;11/02/2008;42.9;17.6;196;4700;MALE;863.259;-2.623.027;
PAL0809;83;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N40A1;Yes;11/07/2008;36.7;18.8;187;3800;FEMALE;788.494;-2.624.837;
PAL0809;84;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N40A2;Yes;11/07/2008;35.1;19.4;193;4200;MALE;890.002;-2.646.254;
PAL0809;85;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N41A1;Yes;11/17/08;37.3;17.8;191;3350;FEMALE;832.718;-2.638.396;
PAL0809;86;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N41A2;Yes;11/17/08;41.3;20.3;194;3550;MALE;914.863;-2.609.635;
PAL0809;87;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N42A1;Yes;11/08/2008;36.3;19.5;190;3800;MALE;857.087;-2.622.227;
PAL0809;88;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N42A2;Yes;11/08/2008;36.9;18.6;189;3500;FEMALE;859.147;-2.608.165;
PAL0809;89;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N44A1;Yes;11/08/2008;38.3;19.2;189;3950;MALE;907.826;-2.612.417;
PAL0809;90;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N44A2;Yes;11/08/2008;38.9;18.8;190;3600;FEMALE;836.936;-2.611.199;
PAL0809;91;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N45A1;Yes;11/14/08;35.7;18;202;3550;FEMALE;846.531;-2.605.621;
PAL0809;92;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N45A2;Yes;11/14/08;41.1;18.1;205;4300;MALE;877.018;-2.583.352;
PAL0809;93;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N46A1;Yes;11/05/2008;34;17.1;185;3400;FEMALE;801.485;-2.669.543;
PAL0809;94;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N46A2;Yes;11/05/2008;39.6;18.1;186;4450;MALE;849.915;-2.642.406;
PAL0809;95;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N48A1;Yes;11/17/08;36.2;17.3;187;3300;FEMALE;890.723;-2.630.037;
PAL0809;96;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N48A2;Yes;11/17/08;40.8;18.9;208;4300;MALE;848.204;-2.657.941;
PAL0809;97;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N49A1;Yes;11/08/2008;38.1;18.6;190;3700;FEMALE;810.277;-2.650.086;
PAL0809;98;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N49A2;Yes;11/08/2008;40.3;18.5;196;4350;MALE;839.459;-2.601.152;
PAL0809;99;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N50A1;Yes;11/10/2008;33.1;16.1;178;2900;FEMALE;904.218;-2.615.775;
PAL0809;100;Adelie Penguin (Pygoscelis adeliae);Anvers;Dream;Adult, 1 Egg Stage;N50A2;Yes;11/10/2008;43.2;18.5;192;4100;MALE;897.025;-2.603.679;
PAL0910;101;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N47A1;Yes;11/09/2009;35;17.9;192;3725;FEMALE;884.451;-2.628.055;
PAL0910;102;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N47A2;Yes;11/09/2009;41;20;203;4725;MALE;901.079;-2.638.085;
PAL0910;103;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N49A1;Yes;11/15/09;37.7;16;183;3075;FEMALE;92.151;-262.253;
PAL0910;104;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N49A2;Yes;11/15/09;37.8;20;190;4250;MALE;951.929;-2.569.199;
PAL0910;105;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N51A1;Yes;11/15/09;37.9;18.6;193;2925;FEMALE;902.642;-2.586.482;
PAL0910;106;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N51A2;Yes;11/15/09;39.7;18.9;184;3550;MALE;885.699;-2.580.208;
PAL0910;107;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N53A1;Yes;11/15/09;38.6;17.2;199;3750;FEMALE;877.322;-2.648.973;
PAL0910;108;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N53A2;Yes;11/15/09;38.2;20;190;3900;MALE;959.245;-2.570.711;
PAL0910;109;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N55A1;Yes;11/20/09;38.1;17;181;3175;FEMALE;979.532;-2.527.385;
PAL0910;110;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N55A2;Yes;11/20/09;43.2;19;197;4775;MALE;931.735;-2.545.171;
PAL0910;111;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N58A1;Yes;11/12/2009;38.1;16.5;198;3825;FEMALE;843.951;-2.657.563;
